rank,name,city,country,category,lat,lng,place_id,formatted_address
90,Elevaria Café,,Peru,South America,-8.128140199999999,-79.0398141,ChIJjaZ5cm09rZERIwKf87rpGXo,"Av. Fátima 285, Trujillo 13008, Peru"
90,Cypher Urban Roastery,,UAE,Top 100,25.1224432,55.20919560000001,ChIJgT7BrsZrXz4RQuTOVL5PY4o,"Al Quoz Industrial Area 3, Street 6b, Complex 76, Warehouse no. 2 - Dubai - United Arab Emirates"
91,Casa Berracos,"the heart of La Blanqueada, Montevideo",Uruguay,South America,-34.8888744,-56.15733969999999,ChIJxVQi6_iAn5URi5YfB0oboWU,"Estero Bellaco 2835, 11600 Montevideo, Departamento de Montevideo, Uruguay"
91,Cafetano Coffee Roasters,"the heart of Honduras, Cafetano is more than just a coffee shop; it’s a tribute to Honduran coffee and its local producers",Honduras,Top 100,14.0891693,-87.18622409999999,ChIJhaSZedSib48RdofAX4Tytn0,"Av. República de Costa Rica, Tegucigalpa, Francisco Morazán, Honduras"
92,Senzuru Coffee,,Peru,South America,-12.0916239,-77.0387137,ChIJo4ghAlzIBZERA6c27pf0g2U,"Ca. las Palmeras 205, San Isidro 15073, Peru"
92,Coffee Five,,Brazil,Top 100,-22.9025663,-43.1767791,ChIJhVec0o5_mQARZO8ND6SrAgA,"R. da Quitanda, 86 - quiosque 01 - Centro, Rio de Janeiro - RJ, 20091-902, Brazil"
93,Anella Café,,Venezuela,South America,10.2200669,-68.0145359,ChIJJ-jlmY1dgI4R-yeKWOVmdaM,"6XCP+25H, Av. 104 La Victoria, Valencia 2001, Carabobo, Venezuela"
93,Kima Coffee,,Spain,Top 100,36.7238288,-4.4229259,ChIJwb6Oe773cg0REmFojy7gtJg,"C. Carretería, 67, Distrito Centro, 29008 Málaga, Spain"
94,Kajue Café,,Argentina,South America,-34.5863954,-58.4240992,ChIJdxQPxIa1vJUR6yfXvuP-70w,"Guatemala 4665, C1425BUK Cdad. Autónoma de Buenos Aires, Argentina"
94,Negro,,Argentina,Top 100,-34.600878,-58.3795636,ChIJ3cNOI8nKvJURtT20WMypHg8,"Suipacha 637, C1008AAM C1008AAM, Cdad. Autónoma de Buenos Aires, Argentina"
95,Varietale Chapinero,,Colombia,South America,4.642371499999999,-74.06060339999999,ChIJpVlgQTmaP44R7Or64eDPfO0,"Cra. 4a #57-02, Bogotá, Colombia"
95,Metric,,Illinois (USA),Top 100,41.8866605,-87.6778477,ChIJzTsrAUgtDogR-cUahY0UaOE,"2021 W Fulton St, Chicago, IL 60612, USA"
96,Ninina,,Argentina,South America,-34.5912677,-58.42860640000001,ChIJy9gfAXjKvJURdgkuK0by_RE,"Gorriti 4738, C1414 BJL, Cdad. Autónoma de Buenos Aires, Argentina"
96,El Terrible Juan Café,,México,Top 100,20.6694613,-103.3662362,ChIJ27y2mQauKIQRJa8IIPKMvHQ,"C. Colonias 440, Col Americana, Americana, 44150 Guadalajara, Jal., Mexico"
97,Guanacoffee,,Peru,South America,-12.0817184,-77.0678185,ChIJp-BlAAbJBZERZGib1FitHJM,"Sta. Isabel 140, Pueblo Libre 15084, Peru"
97,Flat White Specialty Coffee,,Qatar,Top 100,25.3146714,51.4418359,ChIJn_jQI_jbRT4RUv7nkbiKmmA,"Education City, Education City Student Center, Al Huqoul St, Doha, Qatar"
98,Barista Coffee House,,Argentina,South America,-32.9655823,-60.6474489,ChIJp3NNcwqrt5URIV1lNjIMi94,"Ocampo 1404, S2000EYD Rosario, Santa Fe, Argentina"
98,Cafeoteca,"San Jose, Costa Rica",Costa Rica,Top 100,9.9283386,-84.06454730000002,ChIJFcTu0nbjoI8Rvg4fmBnwvGw,"C. 31, San José, Costa Rica"
99,Café Bauda,,Chile,South America,-42.4767972,-73.760192,ChIJAwvrMOMZIpYRV9KZKt9zZkA,"Pedro Montt 431, 5700000 Castro, Los Lagos, Chile"
99,Surry Hills Coffee,,Argentina,Top 100,-34.5722912,-58.4312759,ChIJqU4u0pe1vJURXATY3_gGrqQ,"Arévalo 2877, C1426DJC Cdad. Autónoma de Buenos Aires, Argentina"
100,Calu&#8217;s,,Argentina,South America,-34.5508173,-58.4742451,ChIJ5yLTdZq2vJURFH6u_oQ0pvw,"Conesa 3705, C1429 Cdad. Autónoma de Buenos Aires, Argentina"
100,Vacation Coffee,,Australia,Top 100,-37.8157952,144.9720338,ChIJv1on_7dC1moRDAYeaq0BIGs,"1 Exhibition St, Melbourne VIC 3000, Australia"
